task,plant,model,seed,delay_s,tau_s,scale,maximum_position_m,maximum_goal_overshoot_m,final_position_m,final_goal_error_m,goal_reached,goal_reached_time_s,settling_time_s,minimum_wall_clearance_m,safety_margin_m,collision,safety_violation,peak_actual_speed_mps,mean_abs_raw_to_smoothed_mps,mean_abs_smoothed_to_actual_mps,mean_abs_first_cycle_prediction_error_m,p95_abs_first_cycle_prediction_error_m,raw_command_total_variation_mps,mean_compute_ms,p95_compute_ms,mean_rank_spearman,mean_top_1pct_overlap
wall_stop,smoother_only,smoother,3,0.0,0.0,1.0,0.5292008967562766,0.0,0.5292008967562766,0.3207991032437234,1,1.9500000000000002,nan,0.4707991032437233,0.37079910324372334,0,0,0.3,0.02796697030772099,0.0,0.0,0.0,0.9100618984631095,9.009362769388527,9.429279099276755,nan,nan
wall_stop,smoother_only,smoother,4,0.0,0.0,1.0,0.5311437071089177,0.0,0.5311437071089177,0.3188562928910823,1,1.9500000000000002,nan,0.4688562928910822,0.36885629289108224,0,0,0.3,0.02809853841748441,0.0,0.0,0.0,0.9132682385255532,8.97858971793306,9.578374301054282,nan,nan
wall_stop,smoother_only,smoother,5,0.0,0.0,1.0,0.5388754430765229,0.0,0.5388754430765229,0.31112455692347707,1,2.0,nan,0.461124556923477,0.361124556923477,0,0,0.3,0.028041972991721974,0.0,0.0,0.0,0.9013374745855793,8.861626099951536,9.26965650087368,nan,nan
wall_stop,smoother_only,smoother,6,0.0,0.0,1.0,0.5405006267928179,0.0,0.5405006267928179,0.3094993732071821,1,2.0,nan,0.45949937320718215,0.35949937320718217,0,0,0.3,0.027976092370651944,0.0,0.0,0.0,0.9084038702780726,8.729967900671909,9.244036200652772,nan,nan
wall_stop,smoother_only,smoother,7,0.0,0.0,1.0,0.5289005079555194,0.0,0.5289005079555194,0.32109949204448063,1,1.9500000000000002,nan,0.47109949204448065,0.37109949204448067,0,0,0.3,0.02795482050026787,0.0,0.0,0.0,0.9176345463840514,8.519793256336692,8.792419599922141,nan,nan
wall_stop,smoother_only,smoother,8,0.0,0.0,1.0,0.5395463117518063,0.0,0.5395463117518063,0.31045368824819364,1,2.0,nan,0.46045368824819377,0.3604536882481938,0,0,0.3,0.02778216374928862,0.0,0.0,0.0,0.9424667757632997,8.233897424634051,9.208578951802338,nan,nan
wall_stop,smoother_only,smoother,9,0.0,0.0,1.0,0.5296911756465934,0.0,0.5296911756465934,0.3203088243534066,1,1.9500000000000002,nan,0.4703088243534066,0.3703088243534066,0,0,0.3,0.027866564824712104,0.0,0.0,0.0,0.9178231993706136,9.245255923022528,9.990478698455263,nan,nan
wall_stop,smoother_only,smoother,10,0.0,0.0,1.0,0.5385229966828203,0.0,0.5385229966828203,0.31147700331717965,1,2.0,nan,0.4614770033171798,0.3614770033171798,0,0,0.3,0.027722953920011995,0.0,0.0,0.0,0.9096561532657188,8.981451550334896,9.893356101201785,nan,nan
wall_stop,smoother_only,smoother,11,0.0,0.0,1.0,0.5402429357341607,0.0,0.5402429357341607,0.30975706426583927,1,2.0,nan,0.4597570642658393,0.3597570642658393,0,0,0.3,0.027685555206707988,0.0,0.0,0.0,0.9470592171235097,8.680276399991271,9.30935670130566,nan,nan
wall_stop,smoother_only,smoother,12,0.0,0.0,1.0,0.540107327936669,0.0,0.540107327936669,0.30989267206333093,1,2.0,nan,0.45989267206333095,0.359892672063331,0,0,0.3,0.027904155254764567,0.0,0.0,0.0,0.9407387138969086,8.632912500434031,8.887466450869397,nan,nan
wall_stop,smoother_only,smoother,13,0.0,0.0,1.0,0.5398270419071903,0.0,0.5398270419071903,0.31017295809280965,1,2.0,nan,0.46017295809280956,0.3601729580928096,0,0,0.3,0.027709859135740623,0.0,0.0,0.0,0.9089064577585375,8.463402375036821,8.939795401784068,nan,nan
wall_stop,smoother_only,smoother,14,0.0,0.0,1.0,0.5291899029013988,0.0,0.5291899029013988,0.3208100970986012,1,1.9500000000000002,nan,0.47081009709860133,0.37081009709860135,0,0,0.3,0.027932152332236664,0.0,0.0,0.0,0.9557501932531371,8.647570795288535,9.756055800971808,nan,nan
wall_stop,smoother_only,smoother,15,0.0,0.0,1.0,0.5286688722900147,0.0,0.5286688722900147,0.3213311277099853,1,1.9500000000000002,nan,0.4713311277099854,0.37133112770998544,0,0,0.3,0.02780292070073868,0.0,0.0,0.0,0.8970497916483618,8.399429641147622,9.159666200866923,nan,nan
