controller,time_s,position_m,velocity_mps,command_mps,compute_ms,effective_samples
aware,0.650000000,0.123780477,0.321558288,0.382601604,0.980602999,6360.246590238
aware,0.700000000,0.140039154,0.328788806,0.369315593,0.981522000,6407.131279565
aware,0.750000000,0.156620069,0.334447797,0.361175868,0.971459998,6500.502239764
aware,0.800000000,0.173434127,0.338114518,0.357646546,0.978010001,6564.303995784
aware,0.850000000,0.190400482,0.340539665,0.342683199,0.979184002,6589.147059556
aware,0.900000000,0.207472439,0.342338637,0.332696089,0.982573001,6640.508934439
aware,0.950000000,0.224590277,0.342374871,0.321732935,0.981481997,6744.589640409
aware,1.000000000,0.241683575,0.341357044,0.308766372,0.994118000,6775.559342305
aware,1.050000000,0.258699835,0.339293359,0.290253216,0.972330003,6819.168864599
aware,1.100000000,0.275584247,0.336083120,0.281780986,0.984498998,6848.538623004
aware,1.150000000,0.292267915,0.331263616,0.284988707,0.983900001,6933.978987191
aware,1.200000000,0.308701005,0.326059989,0.269809426,0.980477998,6982.761401695
aware,1.250000000,0.324896028,0.321740905,0.262826992,0.993237998,7027.463177400
aware,1.300000000,0.340846544,0.316279755,0.257656398,1.006625000,7105.864338463
aware,1.350000000,0.356520004,0.310658626,0.247646749,0.985366998,7140.185706483
aware,1.400000000,0.371913591,0.305084876,0.234234754,0.983201000,7171.491254075
aware,1.450000000,0.387016829,0.299044643,0.227915499,0.998131000,7223.828828281
aware,1.500000000,0.401798675,0.292229191,0.224985413,0.997782001,7253.550446776
aware,1.550000000,0.416241053,0.285465919,0.218183438,0.996783001,7298.005634732
aware,1.600000000,0.430355345,0.279105748,0.202636951,1.018830000,7339.261884030
aware,1.650000000,0.444150466,0.272699116,0.198466175,0.988739001,7380.223728202
aware,1.700000000,0.457601227,0.265331331,0.201627024,0.997613999,7407.795791727
aware,1.750000000,0.470692004,0.258299745,0.184443318,1.046730002,7408.965474965
aware,1.800000000,0.483457998,0.252340003,0.184444305,1.026113998,7437.751598373
aware,1.850000000,0.495896497,0.245199941,0.170432996,0.989517001,7466.291818566
aware,1.900000000,0.507996766,0.238810837,0.163185339,0.990090000,7485.282172275
aware,1.950000000,0.519757541,0.231620177,0.154420006,0.992336001,7506.775520562
aware,2.000000000,0.531158634,0.224423522,0.151708276,0.985611001,7534.529277248
aware,2.050000000,0.542195770,0.217061905,0.137545059,1.029285999,7549.711484218
aware,2.100000000,0.552877049,0.210189273,0.138953638,1.062988998,7556.248955142
aware,2.150000000,0.563195530,0.202549957,0.140283366,1.103289000,7590.997122761
aware,2.200000000,0.573155832,0.195862125,0.130437223,1.037729999,7593.292663542
aware,2.250000000,0.582802821,0.190017425,0.127654165,1.066870002,7590.857837629
aware,2.300000000,0.592147054,0.183751930,0.123901279,1.064427001,7617.184238292
aware,2.350000000,0.601187169,0.177852651,0.117137197,1.068795998,7631.766934331
aware,2.400000000,0.609937962,0.172179088,0.117535091,1.073152998,7628.840113224
aware,2.450000000,0.618402211,0.166390845,0.101440708,1.073641000,7631.588049911
aware,2.500000000,0.626593310,0.161253140,0.111350668,1.030905001,7645.720477313
aware,2.550000000,0.634498719,0.154963224,0.102622464,1.065008000,7658.378445328
aware,2.600000000,0.642132222,0.150376898,0.101172722,1.043295000,7665.624887110
aware,2.650000000,0.649525520,0.145355009,0.093895402,1.059046001,7668.847757665
aware,2.700000000,0.656677115,0.140708770,0.093293182,1.066042998,7673.385565989
aware,2.750000000,0.663589480,0.135785844,0.081684951,1.066092998,7677.494072633
aware,2.800000000,0.670267058,0.131317286,0.077203964,1.089105001,7672.366518402
aware,2.850000000,0.676702438,0.126097916,0.082119906,1.078413999,7689.657595468
aware,2.900000000,0.682878791,0.120956195,0.076189610,1.072035000,7689.247322761
aware,2.950000000,0.688824500,0.116872144,0.067407942,1.057690002,7683.955186413
aware,3.000000000,0.694561152,0.112593941,0.067645025,1.020183001,7698.738703626
aware,3.050000000,0.700072054,0.107842151,0.066641072,1.007354000,7695.764465564
aware,3.100000000,0.705358483,0.103614993,0.069545760,1.019752002,7698.123914002
aware,3.150000000,0.710442027,0.099726790,0.069434804,1.004066999,7693.436630745
aware,3.200000000,0.715349020,0.096552933,0.051868293,1.037348000,7696.260602626
aware,3.250000000,0.720105373,0.093701172,0.053544675,1.007846000,7698.676837580
aware,3.300000000,0.724680452,0.089301998,0.053342216,0.994475999,7690.951973377
aware,3.350000000,0.729051545,0.085541733,0.057088952,0.991846002,7694.831202450
aware,3.400000000,0.733243979,0.082155610,0.054485322,1.083249001,7695.784244215
aware,3.450000000,0.737285859,0.079519583,0.050237296,1.018128001,7691.923119875
aware,3.500000000,0.741196022,0.076886963,0.037071776,1.027874001,7688.240797707
